抓取时间,bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,sw_name,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,volatility_rate,debt_rate
2026-04-27 09:38:36,123267,珂玛转债,kmzz,100.0,0.0,301611,珂玛科技,kmkj,116.09,4.04,29.31,97.57,118.98,178,-15.95,84.05,270103,电子,szcy,C,,[],0,0,buy,AA,,68.299,126.841,,buy,2032-04-15,5.973,7.5,0.0,206296.94,0.0,2.17,,0,,00,Y,N,0,0,Y,,未到转股期；2026-10-22 开始转股,计算使用6.0年期 评级为AA 债参考YTM：2.2529,N,7.5,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-04-27 09:38:36,113702,斯达转债,sdzz,100.0,0.0,603290,斯达半导,sdbd,110.7,1.84,3.83,105.3,105.13,178,-4.88,95.12,270102,电子,shmb,C,,[],0,0,buy,AA+,,73.71,136.89,5.7,buy,2032-04-15,5.973,15.0,0.0,94524.86,0.0,1.86,,0,,00,Y,N,0,0,Y,,未到转股期；2026-10-22 开始转股,计算使用6.0年期 评级为AA+ 债参考YTM：1.9929,N,15.0,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-04-27 09:38:36,118003,华兴转债,hxzz,222.617,20.0,688001,华兴源创,hxyc,60.66,20.0,7.65,26.22,231.35,0,-3.77,218.85,640107,机械设备,shkc,C,2021-12-20,[],0,0,buy,AA,,18.354,34.086,1.6,buy,2027-11-29,1.592,4.509,278327.76,147760.43,295.88,-35.36,,0,14:59:17,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2022-06-06 开始转股,已公告要强赎，如不考虑强赎纯债价值为108.94元，计算使用1.6年期 评级为AA 债参考YTM：1.6611,N,8.0,全价：222.617 最后更新：14:59:17,,,如不考虑强赎期权价值为136.63元,1,"{'O': '', 'M': ''}",0,0,N,,,buy,buy
2026-04-27 09:38:36,127047,帝欧转债,dozz,145.6,4.91,002798,帝欧水华,dosh,7.49,5.64,2.01,5.1,146.86,0,-0.86,144.74,360306,轻工制造,szmb,C,2021-11-26,[],0,0,buy,A-,,3.57,6.63,17.4,buy,2027-10-25,1.496,6.306,50334.26,27180.24,55.55,-13.74,,0,15:34:06,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2022-04-29 开始转股,计算使用1.5年期 评级为A- 债参考YTM：9.0470,N,15.0,全价：145.600 最后更新：15:34:06,,,,1,[],0,0,N,,,buy,buy
2026-04-27 09:38:36,118006,Z阿拉转,alzz,139.801,-0.72,688179,阿拉丁,ald,18.78,0.48,6.13,13.32,140.99,0,-0.84,138.96,220309,基础化工,shkc,C,2022-04-12,[],0,0,buy,A+,,9.324,17.316,1.4,buy,2028-03-15,,0.965,30976.42,23781.72,229.24,,,0,14:59:59,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2022-09-21 开始转股,强赎登记日2026-04-27，赎回价格100.356元，如不考虑强赎纯债价值为108.32元，计算使用1.9年期 评级为A+ 债参考YTM：4.4716,N,3.874,全价：139.801 最后更新：14:59:59,2026-04-27,100.356,如不考虑强赎期权价值为56.52元,1,"{'R': '最后交易日：2026年4月27日\r\n最后转股日：2026年4月30日\r\n赎回价：100.3562元/张', 'M': ''}",0,0,N,,,buy,buy
2026-04-27 09:38:36,123085,万顺转2,wsz2,179.229,14.89,300057,万顺新材,wsxc,8.99,13.8,1.64,4.99,180.16,0,-0.52,178.71,240301,有色金属,szcy,C,2020-12-28,[],0,0,buy,AA-,,3.493,6.487,3.4,buy,2026-12-11,,2.402,361519.2,172509.45,867.76,,,0,15:34:09,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2021-06-17 开始转股,强赎登记日2026-05-12，赎回价格100.870元，如不考虑强赎纯债价值为106.81元，计算使用0.7年期 评级为AA- 债参考YTM：1.7895,N,9.0,全价：179.229 最后更新：15:34:09,2026-05-12,100.870,如不考虑强赎期权价值为82.15元,1,"{'R': '最后交易日：2026年5月12日\r\n最后转股日：2026年5月15日\r\n赎回价：100.87元/张', 'M': ''}",0,0,N,,,buy,buy
2026-04-27 09:38:36,118033,华特转债,htzz,219.052,2.86,688268,华特气体,htqt,182.0,2.94,10.85,82.75,219.94,0,-0.4,218.65,270601,电子,shkc,C,2023-04-14,[],0,0,buy,AA-,,57.925,107.575,2.8,buy,2029-03-21,2.901,6.123,569471.78,345440.01,405.53,-19.32,,0,15:00:00,00,Y,N,0,0,Y,,2023-09-27 开始转股,计算使用3.0年期 评级为AA- 债参考YTM：2.4341,N,6.46,全价：219.052 最后更新：15:00:00,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-04-27 09:38:36,113618,美诺转债,mnzz,264.355,0.23,603538,美诺华,mnh,56.4,-2.05,5.37,21.28,265.04,0,-0.26,264.1,370101,医药生物,shmb,C,2021-02-04,[],0,0,buy,AA-,,14.896,27.664,1.0,buy,2027-01-14,,1.319,373949.65,308577.85,1058.38,,,0,15:00:00,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-07-20 开始转股,强赎登记日2026-04-29，赎回价格100.625元，如不考虑强赎纯债价值为108.60元，计算使用0.8年期 评级为AA- 债参考YTM：1.8008,N,5.2,全价：264.355 最后更新：15:00:00,2026-04-29,100.625,如不考虑强赎期权价值为167.10元,1,"{'R': '最后交易日：2026年4月29日\r\n最后转股日：2026年5月7日\r\n赎回价：100.6247元/张', 'M': ''}",0,0,N,,,buy,buy
2026-04-27 09:38:36,128141,旺能转债,wnzz,125.647,2.43,002034,旺能环境,wnhj,17.59,2.33,1.11,13.98,125.82,0,-0.14,125.51,760103,环保,szmb,C,2021-01-18,[],0,0,buy,AA,,9.786,18.174,8.4,buy,2026-12-17,,6.867,50976.53,42869.06,59.8,,,0,15:33:57,00,Y,N,0,0,Y,,2021-06-23 开始转股,强赎登记日2026-05-14，赎回价格100.844元，如不考虑强赎纯债价值为108.93元，计算使用0.7年期 评级为AA 债参考YTM：1.5305,N,14.0,全价：125.647 最后更新：15:33:57,2026-05-14,100.844,如不考虑强赎期权价值为28.05元,1,"{'R': '最后交易日 2026年5月14日\r\n最后转股日 2026年5月19日\r\n赎回价 100.844元/张', 'M': ''}",0,0,N,,,buy,buy
2026-04-27 09:38:36,113654,永02转债,y02zz,129.006,0.45,603901,永创智能,yczn,12.62,0.32,2.23,9.77,129.17,0,-0.13,128.88,640208,机械设备,shmb,C,2022-09-01,[],0,0,buy,AA-,,6.839,12.701,4.0,buy,2028-08-04,,2.572,15781.43,16051.71,47.55,,,0,14:59:56,00,Y,N,2,1,Y,转股价下修2次，成功下修1次,2023-02-10 开始转股,强赎登记日2026-05-07，赎回价格101.159元，如不考虑强赎纯债价值为110.87元，计算使用2.3年期 评级为AA- 债参考YTM：2.2471,N,6.105,全价：129.006 最后更新：14:59:56,2026-05-07,101.159,如不考虑强赎期权价值为47.03元,0,{'R': '最后交易日 2026年5月7日\r\n最后转股日 2026年5月12日\r\n赎回价 101.1589元/张'},0,0,N,,,buy,buy
2026-04-27 09:38:36,123241,欧通转债,otzz,901.0,8.1,300870,欧陆通,olt,391.25,12.69,16.12,43.43,900.88,0,0.01,901.01,630306,电力设备,szcy,C,2024-07-26,[],0,0,buy,AA-,,30.401,56.459,0.6,buy,2030-07-05,4.192,2.605,259207.74,340634.88,112.24,-39.02,,0,15:34:48,00,Y,N,0,0,Y,,2025-01-13 开始转股,计算使用4.2年期 评级为AA- 债参考YTM：2.6298,N,6.445,全价：901.000 最后更新：15:34:48,,,,0,{'M': ''},0,0,N,,,buy,buy
