抓取时间,bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_begin,premium_rt,dblow,sw_cd,sw_name,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,volatility_rate,debt_rate
2026-09-22 12:45:40,123285,润禾转02,rhz02,100.0,0.0,300727,润禾材料,rhcl,34.8,-2.16,4.63,31.1,111.9,175,-10.63,89.37,220316,基础化工,szcy,C,,[],0,0,buy,A+,,21.77,40.43,6.6,buy,2032-09-09,5.97,3.7,0.0,11438.15,0.0,2.84,,0,,00,Y,N,0,0,Y,,未到转股期；2027-03-16 开始转股,计算使用6.0年期 评级为A+ 债参考YTM：5.0920,N,3.7,待上市,,,,0,[],0,0,N,,,buy,buy
2026-09-22 12:45:40,127117,奥士转债,aszz,100.0,0.0,002913,奥士康,ask,88.12,4.28,6.36,83.96,104.96,189,-4.72,95.28,270202,电子,szmb,C,,[],0,0,buy,AA,,58.772,109.148,3.7,buy,2032-09-22,6.003,10.0,0.0,151818.58,0.0,2.15,,0,,00,Y,N,0,0,Y,,未到转股期；2027-03-30 开始转股,计算使用6.1年期 评级为AA 债参考YTM：1.9863,N,10.0,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-22 12:45:40,118027,宏图转债,htzz,93.776,-1.13,688066,*ST航图,htht,8.5,-3.63,-1.64,8.68,97.93,0,-4.24,89.54,710301,计算机,shkc,C,2022-12-22,[],0,0,buy,CC,,6.076,11.284,31.5,buy,2028-11-28,2.186,7.125,29949.59,7001.81,45.08,11.81,,0,14:59:58,00,Y,N,4,4,Y,转股价下修4次，成功下修4次,2023-06-02 开始转股,计算使用2.2年期 评级为CC 债参考YTM：58.2174,N,10.088,全价：93.776 最后更新：14:59:58,,,,0,[],0,0,N,,,buy,buy
2026-09-22 12:45:40,113046,金田转债,jtzz,129.074,-0.76,601609,金田股份,jtgf,13.25,-0.08,2.21,10.18,130.16,0,-0.83,128.24,240302,有色金属,shmb,C,2021-04-12,[],0,0,buy,AA+,,7.126,13.234,6.4,buy,2027-03-22,0.496,14.74,33337.59,80341.46,17.39,-29.8,,0,14:59:59,00,Y,N,0,0,Y,,2021-09-27 开始转股,如不考虑强赎纯债价值为109.18元，计算使用0.5年期 评级为AA+ 债参考YTM：1.5178,N,15.0,全价：129.074 最后更新：14:59:59,,,,1,"{'B': '', 'M': ''}",0,0,N,,,buy,buy
2026-09-22 12:45:40,123286,国科转债,gkzz,100.0,0.0,301571,国科天成,gktc,75.0,-2.52,6.35,74.5,100.67,189,-0.67,99.33,650501,国防军工,szcy,C,,[],0,0,buy,AA-,,52.15,96.85,9.5,buy,2032-09-22,6.003,8.49,0.0,50668.01,0.0,2.19,,0,,00,Y,N,0,0,Y,,未到转股期；2027-03-30 开始转股,计算使用6.1年期 评级为AA- 债参考YTM：2.7762,N,8.49,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-22 12:45:40,123258,胜蓝转02,slz2,250.7,-4.33,300843,胜蓝股份,slgf,136.5,-4.66,12.95,54.36,251.1,0,-0.16,250.54,270504,电子,szcy,C,2025-09-10,[],0,0,buy,AA-,,38.052,70.668,1.8,buy,2031-08-28,,3.873,88889.16,102641.87,89.58,,,0,15:34:42,00,Y,N,0,0,Y,,2026-03-03 开始转股,强赎登记日2026-09-29，赎回价格100.0500元，如不考虑强赎纯债价值为105.29元，计算使用5.0年期 评级为AA- 债参考YTM：2.3036,N,4.5,全价：250.700 最后更新：15:34:42,2026-09-29,100.0500,如不考虑强赎期权价值为195.07元,0,"{'R': '最后交易日 2026年9月29日\r\n最后转股日 2026年10月9日\r\n赎回价 100.05元/张', 'M': ''}",0,0,N,,,buy,buy
2026-09-22 12:45:40,110077,洪城转债,hczz,200.352,-0.42,600461,洪城环境,hchj,8.83,-0.56,1.16,4.41,200.23,0,0.06,200.41,760102,环保,shmb,C,2020-12-17,[],0,0,buy,AA+,,3.087,5.733,4.4,buy,2026-11-20,0.162,5.139,4524.94,8775.44,4.39,-283.81,,0,14:59:52,00,Y,N,0,0,Y,,2021-05-26 开始转股,计算使用0.2年期 评级为AA+ 债参考YTM：1.5089,N,18.0,全价：200.352 最后更新：14:59:52,,,,1,"{'G': '本次（2026年7月12日至2026年7月31日）不提前赎回，至到期日止均不行使提前赎回权利', 'M': ''}",0,0,N,,,buy,buy
2026-09-22 12:45:40,127047,帝欧转债,dozz,133.28,-0.24,002798,帝欧水华,dosh,6.69,1.06,1.92,5.1,131.18,0,1.6,134.88,360306,轻工制造,szmb,C,2021-11-26,[],0,0,buy,BBB+,,3.57,6.63,13.5,buy,2027-10-25,1.09,4.654,5026.89,8546.07,8.08,-11.42,,0,15:33:57,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2022-04-29 开始转股,计算使用1.1年期 评级为BBB+ 债参考YTM：11.8678,N,15.0,全价：133.280 最后更新：15:33:57,,,,1,[],0,0,N,,,buy,buy
2026-09-22 12:45:40,113042,上银转债,syzz,116.439,-0.74,601229,上海银行,shyh,9.53,-0.1,0.51,8.35,114.13,0,2.02,118.46,480401,银行,shmb,C,2021-02-10,[],0,0,buy,AAA,,,10.855,14.1,buy,2027-01-25,0.343,192.16,24825.98,35011.16,1.11,-11.13,,0,14:59:55,00,Y,Y,0,0,Y,,2021-07-29 开始转股,计算使用0.4年期 评级为AAA 债参考YTM：1.4947,N,200.0,全价：116.439 最后更新：14:59:55,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-22 12:45:40,111000,起帆转债,qfzz,134.787,-1.93,605222,起帆电缆,qfdl,22.68,-0.13,1.9,17.29,131.17,0,2.75,137.54,630805,电力设备,shmb,C,2021-06-17,[],0,0,buy,AA-,,12.103,22.477,10.7,buy,2027-05-24,0.669,9.991,13690.19,11881.61,10.06,-21.96,,0,14:59:55,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-11-29 开始转股,计算使用0.7年期 评级为AA- 债参考YTM：1.7302,N,10.0,全价：134.787 最后更新：14:59:55,,,,1,{'G': '本次（2026年3月13日至2026年4月20日）不提前赎回，以2026年10月21日为首个交易日重新起算'},0,0,N,,,buy,buy
2026-09-22 12:45:40,123243,严牌转债,ypzz,242.7,-4.78,301081,严牌股份,ypgf,16.97,-4.29,3.47,7.22,235.04,0,3.26,245.96,760201,环保,szcy,C,2024-07-26,[],0,0,buy,A+,,5.054,9.386,6.7,buy,2030-07-10,3.8,2.558,53081.11,17102.51,83.58,-17.46,,0,15:34:27,00,Y,N,0,0,Y,,2025-01-16 开始转股,计算使用3.8年期 评级为A+ 债参考YTM：4.5679,N,4.679,全价：242.700 最后更新：15:34:27,,,,0,"{'G': '本次（2026年8月27日至2026年9月16日）不提前赎回，以2026年12月16日后的首个交易日重新计算', 'M': ''}",0,0,N,,,buy,buy
2026-09-22 12:45:40,127061,美锦转债,mjzz,110.079,0.13,000723,美锦能源,mjny,3.67,1.38,1.3,3.47,105.76,0,4.08,114.16,740201,煤炭,szmb,C,2022-05-30,[],0,0,buy,A,,2.429,4.511,17.2,buy,2028-04-20,1.578,27.742,7722.82,28317.45,2.54,5.99,,0,15:34:33,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2022-10-26 开始转股,计算使用1.6年期 评级为A 债参考YTM：6.5480,N,35.9,全价：110.079 最后更新：15:34:33,,,,1,{'M': ''},0,0,N,,,buy,buy
2026-09-22 12:45:40,123091,长海转债,chzz,138.402,-0.61,300196,长海股份,chgf,19.64,-0.61,1.66,14.79,132.79,0,4.22,142.62,610202,建筑材料,szcy,C,2021-01-15,[],0,0,buy,AA,,10.353,19.227,11.2,buy,2026-12-23,0.252,5.46,45582.66,49766.19,58.87,-79.42,,0,15:33:54,00,Y,N,0,0,Y,,2021-06-29 开始转股,计算使用0.3年期 评级为AA 债参考YTM：1.5213,N,5.5,全价：138.402 最后更新：15:33:54,,,,1,[],0,0,N,,,buy,buy
2026-09-22 12:45:40,123207,冠中转债,gzzz,199.701,0.14,300948,冠中生态,gzst,19.9,2.9,3.26,10.44,190.61,0,4.77,204.47,620307,建筑装饰,szcy,C,2023-08-09,[],0,0,buy,A-,,7.308,13.572,4.7,buy,2029-07-21,2.83,1.455,19324.37,9871.61,65.79,-16.95,,0,15:34:18,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2024-01-29 开始转股,计算使用2.9年期 评级为A- 债参考YTM：9.1671,N,4.0,全价：199.701 最后更新：15:34:18,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-22 12:45:40,113043,财通转债,ctzz,113.204,0.21,601108,财通证券,ctzq,8.6,0.0,1.01,7.98,107.77,0,5.04,118.24,490101,非银金融,shmb,C,2020-12-28,[],0,0,buy,AAA,,,10.374,9.5,buy,2026-12-10,0.216,37.992,18926.98,45174.69,4.4,-29.78,,0,14:59:56,00,Y,Y,1,1,Y,转股价下修1次，成功下修1次,2021-06-16 开始转股,计算使用0.3年期 评级为AAA 债参考YTM：1.4914,N,38.0,全价：113.204 最后更新：14:59:56,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-22 12:45:40,113605,大参转债,dszz,110.928,-0.53,603233,大参林,dsl,17.75,-1.11,2.61,16.86,105.28,0,5.37,116.3,370403,医药生物,shmb,C,2020-11-13,[],0,0,buy,AA,,11.802,21.918,6.9,buy,2026-10-22,0.082,14.043,4171.93,13823.14,2.67,-10.52,,0,14:59:38,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-04-28 开始转股,计算使用0.1年期 评级为AA 债参考YTM：1.5170,N,14.05,全价：110.928 最后更新：14:59:38,,,,1,"{'R': '到期\n最后交易日：2026-10-16\n最后转股日：2026-10-21\n债券到期日：2026-10-22\n到期赎回价：110.000元/张', 'M': ''}",0,0,N,,,buy,buy
2026-09-22 12:45:40,113056,重银转债,cyzz,125.375,0.32,601963,重庆银行,cqyh,10.93,0.28,0.59,9.22,118.55,0,5.76,131.14,480401,银行,shmb,C,2022-04-14,[],0,0,buy,AAA,,,11.986,52.0,buy,2028-03-23,1.501,115.622,16520.12,9378.53,1.14,-7.07,,0,14:59:39,00,Y,N,0,0,Y,,2022-09-30 开始转股,计算使用1.6年期 评级为AAA 债参考YTM：1.5487,N,130.0,全价：125.375 最后更新：14:59:39,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-22 12:45:40,110081,闻泰转债,wtzz,101.841,1.07,600745,*ST闻泰,wtkj,17.59,4.33,0.92,18.36,95.81,0,6.3,108.14,270102,电子,shmb,C,2021-08-20,[],0,0,buy,BBB-,,12.852,23.868,30.8,buy,2027-07-28,0.847,71.5,23038.02,77623.2,3.17,7.17,,0,14:59:59,00,Y,N,3,3,Y,转股价下修3次，成功下修3次,2022-02-07 开始转股,计算使用0.9年期 评级为BB 债参考YTM：23.8919,N,86.0,全价：101.841 最后更新：14:59:59,,,,1,[],0,0,N,,,buy,buy
2026-09-22 12:45:40,123245,集智转债,jzzz,392.0,-1.31,300553,集智股份,jzgf,66.3,-1.85,8.7,18.06,367.11,0,6.78,398.78,640107,机械设备,szcy,C,2024-08-28,[],0,0,buy,A,,12.642,23.478,2.7,buy,2030-08-14,3.896,1.537,59598.24,32249.91,96.43,-26.52,,0,15:34:12,00,Y,N,0,0,Y,,2025-02-20 开始转股,计算使用3.9年期 评级为A 债参考YTM：6.9246,N,2.546,全价：392.000 最后更新：15:34:12,,,,0,{'G': '本次（2026年6月2日至2026年6月23日）不提前赎回，自2026年9月23日后首个交易日重新计算'},0,0,N,,,buy,buy
2026-09-22 12:45:40,113062,常银转债,cyzz,128.037,0.17,601128,常熟银行,csyh,6.25,0.0,0.68,5.25,119.05,0,7.55,135.59,480501,银行,shmb,C,2022-10-17,[],0,0,buy,AAA,,,6.825,26.3,buy,2028-09-15,1.984,59.994,9655.66,25054.12,1.26,-8.15,,0,14:59:53,00,Y,N,0,0,Y,,2023-03-21 开始转股,计算使用2.0年期 评级为AAA 债参考YTM：1.5771,N,60.0,全价：128.037 最后更新：14:59:53,,,,0,{'M': ''},0,0,N,,,buy,buy
