date,bond_id,bond_nm,price,increase_rt,premium_rt,dblow,curr_iss_amt,convert_value,ytm_rt,rating_cd,sw_name,market_cd,maturity_dt,year_left,volume,turnover_rt,convert_price,sprice,sincrease_rt,pb,_extra_1,_extra_2
2026-03-28,127113,长高转债,100.0,0.0,-2.57,97.43,7.59,102.63,2.21,AA-,商贸零售,szmb,2032-03-08,5.953,0.0,0.0,11.01,11.3,6.4,2.7,,
2026-03-28,118055,伟测转债,203.061,3.28,-1.2,201.86,1.962,205.52,,AA,基础化工,shkc,2031-04-09,,98345.84,247.01,62.65,128.76,4.07,6.73,,
2026-03-28,118000,Z嘉元转,124.286,3.17,-0.94,123.35,0.368,125.47,,A+,商贸零售,shkc,2027-02-23,,55223.75,1201.65,33.18,41.63,3.82,2.66,,
2026-03-28,118038,金宏转债,157.081,6.84,-0.71,156.37,7.453,158.2,-8.12,AA-,基础化工,shkc,2029-07-17,3.31,359799.43,312.68,18.97,30.01,7.49,4.64,,
2026-03-28,113601,塞力转债,171.463,2.28,-0.51,170.95,0.935,172.33,,BB+,汽车,shmb,2026-08-21,,43583.83,272.82,12.0,20.68,2.27,4.01,,
2026-03-28,118049,汇成转债,191.276,-0.31,-0.51,190.77,4.975,192.25,-10.92,AA-,基础化工,shkc,2030-08-07,4.367,56627.07,59.46,7.61,14.63,0.21,3.7,,
2026-03-28,118008,海优转债,105.945,0.53,-0.36,105.59,1.645,106.33,,A,商贸零售,shkc,2028-06-23,,11967.37,68.57,46.8,49.76,1.12,3.26,,
2026-03-28,123197,光力转债,133.8,4.94,-0.36,133.44,1.284,134.28,,A+,交通运输,szcy,2029-05-08,,47225.76,279.26,21.15,28.4,5.11,7.66,,
2026-03-28,123146,中环转2,130.62,1.33,-0.15,130.47,0.781,130.82,,AA-,公用事业,szcy,2028-05-06,,4636.41,45.73,6.23,8.15,1.24,1.63,,
2026-03-28,123246,远信转债,166.899,1.89,0.01,166.91,0.703,166.89,,A,交通运输,szcy,2030-08-16,,23871.12,205.06,22.95,38.3,1.62,4.76,,
2026-03-28,127076,中宠转2,140.99,4.09,0.02,141.01,1.98,140.97,,AA-,农林牧渔,szmb,2028-10-25,,48218.26,171.17,27.46,38.71,3.78,4.11,,
2026-03-28,127094,红墙转债,108.95,1.36,0.21,109.16,1.759,108.72,,A+,石油石化,szmb,2029-10-18,,22443.62,116.77,10.44,11.35,2.71,1.49,,
2026-03-28,123149,通裕转债,137.7,-2.72,0.31,138.01,11.07,137.27,-7.77,AA,商贸零售,szcy,2028-06-20,2.236,70958.16,46.67,2.71,3.72,-3.12,2.1,,
2026-03-28,118030,睿创转债,260.698,2.34,0.78,261.48,13.369,258.69,-26.32,AA,房地产,shkc,2028-12-30,2.764,43423.88,12.48,39.12,101.2,1.79,7.49,,
2026-03-28,118006,阿拉转债,130.902,-1.72,0.79,131.69,3.817,129.88,-5.4,A+,石油石化,shkc,2028-03-15,1.97,30509.77,60.26,13.32,17.3,4.41,5.41,,
2026-03-28,113653,永22转债,105.8,-1.22,1.49,107.29,4.713,104.24,,AA-,石油石化,shmb,2028-07-28,,22704.42,44.96,16.5,17.2,3.24,1.29,,
2026-03-28,123049,维尔转债,122.161,-2.3,2.04,124.2,2.687,119.72,-73.09,A-,公用事业,szcy,2026-04-13,0.047,3005.55,9.06,3.55,4.25,0.0,1.35,,
2026-03-28,123092,天壕转债,138.88,-1.43,2.31,141.19,3.417,135.74,-23.16,A+,家用电器,szcy,2026-12-24,0.745,42850.65,89.68,4.98,6.76,-3.57,1.36,,
2026-03-28,123243,严牌转债,219.0,3.89,2.45,221.45,3.041,213.76,-13.5,A+,公用事业,szcy,2030-07-10,4.29,56975.51,85.98,7.27,15.54,4.02,3.17,,
2026-03-28,128141,旺能转债,132.901,-0.01,2.88,135.78,11.576,129.19,-23.82,AA,公用事业,szmb,2026-12-17,0.726,6616.86,4.3,13.98,18.06,-0.44,1.11,,
2026-03-28,113051,节能转债,152.53,-1.67,3.03,155.56,26.522,148.05,-22.46,AA+,家用电器,shmb,2027-06-21,1.236,246184.94,61.27,3.33,4.93,-7.16,1.79,,
2026-03-28,113687,振华转债,403.103,-1.68,3.59,406.69,4.038,389.15,-25.7,AA,石油石化,shmb,2030-07-12,4.296,73184.44,44.08,8.2,31.91,-0.99,6.52,,
2026-03-28,110087,天业转债,135.655,-0.29,4.06,139.72,29.978,130.36,-8.6,AA+,石油石化,shmb,2028-06-23,2.244,19680.52,4.82,5.6,7.3,0.27,1.34,,
2026-03-28,123118,惠城转债,824.5,3.32,4.65,829.15,0.81,787.85,-78.55,A+,公用事业,szcy,2027-07-07,1.28,61265.99,92.08,11.11,87.53,3.71,13.09,,
2026-03-28,123236,家联转债,153.592,2.77,4.79,158.38,7.012,146.58,-6.67,AA-,国防军工,szcy,2029-12-22,3.743,25318.07,23.61,15.33,22.47,0.58,2.62,,
2026-03-28,123213,天源转债,236.382,0.46,4.96,241.34,3.26,225.21,-19.4,AA-,公用事业,szcy,2029-07-28,3.34,14025.4,18.22,7.14,16.08,-0.06,3.28,,
2026-03-28,110077,洪城转债,216.383,0.18,5.49,221.87,6.685,205.12,-75.72,AA+,公用事业,shmb,2026-11-20,0.652,5589.81,3.88,4.88,10.01,-0.2,1.32,,
2026-03-28,113661,福22转债,140.254,0.92,5.8,146.05,30.297,132.56,-7.83,AA,商贸零售,shmb,2028-11-22,2.66,30014.31,7.04,14.74,19.54,7.3,3.11,,
2026-03-28,118034,晶能转债,127.193,2.06,6.27,133.46,83.22,119.69,-4.17,AA+,商贸零售,shkc,2029-04-20,3.069,65585.26,6.24,6.35,7.6,4.25,2.75,,
2026-03-28,123059,银信转债,140.771,-0.5,7.07,147.84,1.569,131.48,-54.17,AA-,银行,szcy,2026-07-15,0.301,7442.22,33.3,9.15,12.03,-1.39,3.24,,
2026-03-28,123160,泰福转债,189.219,0.0,7.19,196.41,2.316,176.53,-17.08,A,交通运输,szcy,2028-09-28,2.51,0.0,0.0,19.77,34.9,0.0,3.69,,
2026-03-28,113062,常银转债,129.61,-0.17,7.52,137.13,59.994,120.54,-6.74,AAA,食品饮料,shmb,2028-09-15,2.474,12041.24,1.55,5.89,7.1,-0.42,0.77,,
2026-03-28,123085,万顺转2,143.0,4.68,7.95,150.95,5.208,132.47,-34.63,AA-,钢铁,szcy,2026-12-11,0.71,64511.21,87.16,4.99,6.61,10.35,1.15,,
2026-03-28,113039,嘉泽转债,209.362,-0.56,8.41,217.77,2.866,193.13,-117.8,AA,家用电器,shmb,2026-08-24,0.411,37732.56,62.44,2.91,5.62,-0.35,2.02,,
2026-03-28,113042,上银转债,123.879,-0.88,8.44,132.32,199.777,114.24,-11.51,AAA,食品饮料,shmb,2027-01-25,0.833,27000.08,1.09,8.57,9.79,-0.2,0.54,,
2026-03-28,123187,超达转债,196.312,1.1,8.84,205.15,2.679,180.37,-15.3,A,建筑材料,szcy,2029-04-04,3.025,19565.75,37.04,30.98,55.88,-0.04,2.81,,
2026-03-28,123207,冠中转债,206.2,1.04,9.05,215.25,1.83,189.08,-15.3,A-,传媒,szcy,2029-07-21,3.321,14972.12,39.66,10.44,19.74,0.71,3.93,,
2026-03-28,110070,凌钢转债,112.403,-0.39,9.08,121.48,1.773,103.05,-7.69,AA,有色金属,shmb,2026-04-13,0.047,6663.2,33.37,1.97,2.03,0.5,1.22,,
2026-03-28,113048,晶科转债,134.854,0.07,9.94,144.79,22.884,122.67,-14.84,AA,家用电器,shmb,2027-04-23,1.074,23062.38,7.46,4.5,5.52,-2.99,1.22,,
2026-03-28,123188,水羊转债,169.5,2.52,10.02,179.52,6.422,154.06,-10.92,A+,环保,szcy,2029-04-04,3.025,16638.72,15.33,13.54,20.86,2.76,3.77,,
2026-03-28,113681,镇洋转债,141.5,2.16,10.75,152.25,5.797,127.77,-4.51,AA-,石油石化,shmb,2029-12-29,3.762,17384.44,21.2,11.2,14.31,6.0,3.28,,
2026-03-28,127047,帝欧转债,135.248,0.4,10.89,146.14,6.559,121.96,-8.85,A-,国防军工,szmb,2027-10-25,1.581,3060.55,3.46,5.1,6.22,1.63,1.64,,
2026-03-28,128121,宏川转债,125.881,2.34,10.89,136.77,6.52,113.52,-46.71,AA-,轻工制造,szmb,2026-07-17,0.307,4469.09,5.49,12.65,14.36,5.51,2.65,,
2026-03-28,113631,皖天转债,138.076,0.64,11.28,149.36,5.958,124.08,-12.33,AA+,家用电器,shmb,2027-11-08,1.619,5460.99,6.66,6.81,8.45,1.08,1.31,,
2026-03-28,113632,鹤21转债,137.575,0.72,11.65,149.23,20.167,123.22,-11.01,AA,国防军工,shmb,2027-11-17,1.644,9919.0,3.57,18.99,23.4,2.72,1.95,,
2026-03-28,127040,国泰转债,136.633,1.3,11.79,148.42,39.864,122.22,-15.91,AA+,纺织服饰,szmb,2027-07-07,1.28,14778.4,2.71,7.65,9.35,1.96,0.94,,
2026-03-28,118044,赛特转债,147.232,8.4,11.8,159.03,4.42,131.69,-6.46,A+,石油石化,shkc,2029-09-11,3.463,57408.16,89.4,18.9,24.89,0.81,3.64,,
2026-03-28,127024,盈峰转债,131.5,0.38,11.94,143.44,14.76,117.47,-27.0,AA+,公用事业,szmb,2026-11-04,0.608,9277.98,4.78,7.67,9.01,0.67,1.65,,
2026-03-28,110074,精达转债,410.787,2.39,12.53,423.32,2.637,365.06,-184.37,AA,商贸零售,shmb,2026-08-19,0.397,33360.5,31.09,3.32,12.12,3.24,4.27,,
2026-03-28,111013,新港转债,145.694,0.37,12.78,158.47,3.679,129.18,-6.81,AA-,家用电器,shmb,2029-03-08,2.951,24258.29,45.16,8.67,11.2,2.0,3.42,,
2026-03-28,127096,泰坦转债,212.0,3.35,14.17,226.17,2.918,185.68,-14.9,A,交通运输,szmb,2029-10-25,3.584,110347.71,177.91,13.27,24.64,0.57,3.64,,
2026-03-28,113058,友发转债,148.542,0.23,14.34,162.88,18.638,129.91,-12.06,AA,有色金属,shmb,2028-03-30,2.011,8687.65,3.14,4.48,5.82,0.52,1.24,,
2026-03-28,127079,华亚转债,202.648,2.4,14.49,217.14,3.106,176.99,-17.96,A+,基础化工,szmb,2028-12-16,2.726,18643.53,29.49,30.73,54.39,1.95,4.01,,
